product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
rose-coco-borlotti-beans,natco,500g,natco_foods,natco-natco-rose-coco-borlotti-beans-500g,,true
coconut-oil-parachute-brand,natco,500ml,natco_foods,natco-natco-coconut-oil-parachute-brand-500ml,,true
olive-oil-extra-virgin,natco,500ml,natco_foods,natco-natco-olive-oil-extra-virgin-500ml,,true
mango-pulp-kesar,natco,850g,natco_foods,natco-natco-mango-pulp-kesar-850g,,true
mango-slices-alphonso,natco,425g,natco_foods,natco-natco-mango-slices-alphonso-425g,,true
mango-pulp-alphonso,natco,450g,natco_foods,natco-natco-mango-pulp-alphonso-450g,,true
ghee-pure-butter,natco,1kg,natco_foods,natco-natco-ghee-pure-butter-1kg,,true
ghee-pure-plough-brand,natco,500g,natco_foods,natco-natco-ghee-pure-plough-brand-500g,,true
kala-chana-boiled,natco,400g,natco_foods,natco-natco-kala-chana-boiled-400g,,true
coconut-cream,natco,400ml,natco_foods,natco-natco-coconut-cream-400ml,,true
coconut-milk-light,natco,400ml,natco_foods,natco-natco-coconut-milk-light-400ml,,true
coconut-milk,natco,400ml,natco_foods,natco-natco-coconut-milk-400ml,,true
coriander-mint-sauce,natco,340g,natco_foods,natco-natco-coriander-mint-sauce-340g,,true
