product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw
4567663378504,natco-roasted-salted-pistachio-nuts-300g,GEN_4567663378504_300g,300g,300,g,/uploads/natco_roasted-amp-salted-pistachio-nuts-300g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N5160
4567663378504,natco-roasted-salted-pistachio-nuts-100g,GEN_4567663378504_100g,100g,100,g,/uploads/natco_roasted-amp-salted-pistachio-nuts-100g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N5170
4567663411272,natco-roasted-monkey-nuts-300g,4567663411272,300g,300,g,/uploads/natco_roasted-monkey-nuts-300g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N4317
4567663575112,natco-peanuts-red-1kg,GEN_4567663575112_1kg,1kg,1,kg,/uploads/natco_peanuts-red-1kg.jpg,A,,tree-nuts;peanuts,See product packaging for full ingredients list,,India,Default,N4150
4567663575112,natco-peanuts-red-400g,GEN_4567663575112_400g,400g,400,g,/uploads/natco_peanuts-red-400g.jpg,A,,tree-nuts;peanuts,See product packaging for full ingredients list,,India,Default,N4160
4567663607880,natco-coconut-halves-250g,4567663607880,250g,250,g,/uploads/natco_coconut-halves-250g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N3715
4567663673416,natco-coconut-flakes-200g,4567663673416,200g,200,g,/uploads/natco_coconut-flakes-200g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N3675
4567663804488,natco-coconut-milk-powder-300g,4567663804488,300g,300,g,/uploads/natco_coconut-milk-powder-300g.jpg,A,,milk;tree-nuts,See product packaging for full ingredients list,,India,Default,N3510
4567663837256,natco-coconut-desiccated-fine-300g,4567663837256,300g,300,g,/uploads/natco_coconut-desiccated-fine-300g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N3360
4567663870024,natco-coconut-desicated-medium-1kg,4567663870024,1kg,1,kg,/uploads/natco_coconut-desicated-medium-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N3250
4567664558152,natco-cashew-roasted-salted-250g,4567664558152,250g,250,g,/uploads/natco_cashew-roasted-salted-250g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N2615
4567664590920,natco-cashew-large-white-pieces-750g,4567664590920,750g,750,g,/uploads/natco_cashew-large-white-pieces-750g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N2415
4567664656456,natco-cashew-split-1kg,4567664656456,1kg,1,kg,/uploads/natco_cashew-split-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N2350
4567664689224,natco-cashew-kernel-300g,GEN_4567664689224_300g,300g,300,g,/uploads/natco_cashew-kernel-300g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N2260
4567664689224,natco-cashew-kernel-1kg,GEN_4567664689224_1kg,1kg,1,kg,/uploads/natco_cashew-kernel-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N2250
4567664787528,natco-walnut-halves-700g,GEN_4567664787528_700g,700g,700,g,/uploads/natco_walnut-halves-700g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1610
4567664787528,natco-walnut-halves-200g,GEN_4567664787528_200g,200g,200,g,/uploads/natco_walnut-halves-200g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1620
4567664820296,natco-pecans-200g,4567664820296,200g,200,g,/uploads/natco_pecans-200g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1550
4567664885832,natco-almond-blanched-whole-250g,4567664885832,250g,250,g,/uploads/natco_almond-blanched-whole-250g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1420
4567664918600,natco-blanched-almond-whole-700g,4567664918600,700g,700,g,/uploads/natco_blanched-almond-whole-700g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1410
4567664984136,natco-almond-flakes-1kg,GEN_4567664984136_1kg,1kg,1,kg,/uploads/natco_almond-flakes-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1350
4567664984136,natco-almond-flakes-300g,GEN_4567664984136_300g,300g,300,g,/uploads/natco_almond-flakes-300g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1360
4567665016904,natco-almonds-ground-300g,4567665016904,300g,300,g,/uploads/natco_almonds-ground-300g.png,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1260
4567665115208,natco-almonds-1kg,GEN_4567665115208_1kg,1kg,1,kg,/uploads/natco_almonds-1kg.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1140
4567665115208,natco-almonds-400g,GEN_4567665115208_400g,400g,400,g,/uploads/natco_almonds-400g.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,N1160
4567665147976,natco-pavbhaji-masala-mangal-100g,4567665147976,100g,100,g,/uploads/natco_pavbhaji-masala-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M2400
4567665180744,natco-biryani-masala-mangal-50g,4567665180744,50g,50,g,/uploads/natco_biryani-masala-mangal-50g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1550
4567665213512,natco-chicken-masala-mangal-100g,4567665213512,100g,100,g,/uploads/natco_chicken-masala-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1520
4567665279048,natco-sambhar-masala-mangal-100g,4567665279048,100g,100,g,/uploads/natco_sambhar-masala-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1450
4567665344584,natco-pickle-masala-mangal-125g,4567665344584,125g,125,g,/uploads/natco_pickle-masala-mangal-125g.png,A,,,See product packaging for full ingredients list,,India,Default,M1411
